City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
luderitz,-26.6481,15.1594,292.75,74,0,8.59,NA,1615915181
qaanaaq,77.484,-69.3632,257.13,63,71,0.5,GL,1615914935
maniitsoq,65.4167,-52.9,261.23,81,62,3.61,GL,1615915182
rikitea,-23.1203,-134.9692,299.71,79,75,6.89,PF,1615914438
hasaki,35.7333,140.8333,284.15,82,20,3.09,JP,1615914659
clyde river,70.4692,-68.5914,247.15,64,20,2.57,CA,1615914660
hay river,60.8156,-115.7999,256.15,78,100,0.51,CA,1615914660
badarganj,25.674,89.0549,296.57,20,0,1.67,BD,1615915183
banda aceh,5.5577,95.3222,300.03,79,100,2.58,ID,1615914661
ushuaia,-54.8,-68.3,277.15,87,75,11.32,AR,1615914455
namibe,-15.1961,12.1522,297.5,83,99,4.11,AO,1615914661
new norfolk,-42.7826,147.0587,283.71,70,53,0.85,AU,1615914465
rapar,23.5667,70.6333,300.66,25,2,4.89,IN,1615914662
talnakh,69.4865,88.3972,237.35,94,35,0.25,RU,1615914662
oranjemund,-28.55,16.4333,290.9,85,0,6.02,NA,1615914662
vaini,-21.2,-175.2,292.15,100,75,3.6,TO,1615914462
port alfred,-33.5906,26.891,292.59,86,74,4.26,ZA,1615915181
majene,-3.5403,118.9707,299.52,83,100,2.03,ID,1615915185
guadalajara,20.6667,-103.3333,297.15,15,1,0.76,MX,1615914974
homa bay,-0.5273,34.4571,294.15,83,75,2.06,KE,1615915185
galle,6.0367,80.217,299.78,79,67,2.32,LK,1615915018
punta arenas,-53.15,-70.9167,282.15,57,75,8.75,CL,1615915015
lorengau,-2.0226,147.2712,300.85,69,34,0.8,PG,1615915186
atuona,-9.8,-139.0333,299.42,69,4,6.54,PF,1615915186
cabo san lucas,22.8909,-109.9124,300.37,23,20,1.54,MX,1615915075
kodiak,57.79,-152.4072,271.15,50,1,3.6,US,1615915187
tuktoyaktuk,69.4541,-133.0374,243.15,76,20,2.33,CA,1615915187
albany,42.6001,-73.9662,273.15,23,100,2.48,US,1615915158
saryg-sep,51.5,95.6,260.93,95,100,0.25,RU,1615915187
izhma,65.0083,53.9113,270.07,98,99,0.41,RU,1615915188
yellowknife,62.456,-114.3525,255.37,77,75,4.12,CA,1615914904
kapaa,22.0752,-159.319,295.37,100,90,8.23,US,1615914971
tasiilaq,65.6145,-37.6368,268.15,93,90,17.49,GL,1615915188
mataura,-46.1927,168.8643,283.15,92,92,3.58,NZ,1615914958
codrington,-38.2667,141.9667,286.06,94,0,3.3,AU,1615915027
nouadhibou,20.931,-17.0347,294.15,73,0,8.75,MR,1615915189
bredasdorp,-34.5322,20.0403,290.15,77,25,2.06,ZA,1615915189
port elizabeth,-33.918,25.5701,293.15,68,0,3.6,ZA,1615915190
rudbar,30.15,62.6,294.51,17,1,3.43,AF,1615915190
nome,64.5011,-165.4064,255.93,84,1,0.53,US,1615915191
butaritari,3.0707,172.7902,300.23,77,99,4.59,KI,1615915192
kruisfontein,-34.0033,24.7314,291.48,79,47,0.45,ZA,1615915039
port hedland,-20.3167,118.5667,300.15,89,90,2.06,AU,1615915192
delta,5.5,6.0,302.03,74,100,1.95,NG,1615915192
jacareacanga,-6.2222,-57.7528,304.15,70,40,2.57,BR,1615915193
longavi,-35.9667,-71.6833,296.89,37,85,2.13,CL,1615915193
tekeli,44.83,78.8239,265.36,77,45,2.22,KZ,1615915193
barrow,71.2906,-156.7887,252.15,77,40,6.17,US,1615915194
mareeba,-17.0,145.4333,297.15,88,52,2.06,AU,1615915194
esperance,-33.8667,121.9,290.15,67,84,5.66,AU,1615915195
port hawkesbury,45.6169,-61.3485,267.59,67,90,6.17,CA,1615915195
puerto del rosario,28.5004,-13.8627,293.15,73,20,6.69,ES,1615915195
alofi,-19.0595,-169.9187,294.15,100,98,0.51,NU,1615915196
katsuura,35.1333,140.3,289.15,63,20,5.14,JP,1615915037
makakilo city,21.3469,-158.0858,295.15,78,40,4.12,US,1615915026
mahebourg,-20.4081,57.7,300.15,74,40,3.6,MU,1615915197
georgetown,5.4112,100.3354,301.15,78,20,2.57,MY,1615915145
east london,-33.0153,27.9116,292.15,94,90,3.09,ZA,1615915197
tucupita,9.0622,-62.051,302.2,62,92,3.39,VE,1615915198
beckley,37.7782,-81.1882,292.15,62,1,5.14,US,1615915198
bambous virieux,-20.3428,57.7575,300.15,74,40,3.6,MU,1615915198
tecuala,22.3986,-105.4569,301.76,26,21,1.54,MX,1615915199
hilo,19.7297,-155.09,294.15,78,20,2.06,US,1615915029
hithadhoo,-0.6,73.0833,300.99,73,96,3.32,MV,1615915199
malangwa,26.8568,85.5581,293.97,18,0,1.45,NP,1615915199
broome,42.2506,-75.833,274.82,31,90,6.17,US,1615915200
fez,34.0372,-4.9998,292.15,52,40,4.63,MA,1615914994
klaeng,12.7797,101.6483,301.48,91,35,1.43,TH,1615915201
puerto ayora,-0.7393,-90.3518,301.15,78,20,3.09,EC,1615915201
necochea,-38.5473,-58.7368,296.48,79,100,0.89,AR,1615915201
pevek,69.7008,170.3133,251.55,85,100,2.26,RU,1615914956
palana,59.1167,159.9667,262.84,88,8,5.06,RU,1615915202
flinders,-34.5833,150.8552,292.59,85,78,0.45,AU,1615915203
alamos,27.0167,-108.9333,300.12,10,59,0.75,MX,1615915203
esna,25.2934,32.554,302.15,28,0,2.06,EG,1615915204
slatina,44.4333,24.3667,278.71,87,75,3.6,RO,1615915204
iqaluit,63.7506,-68.5145,248.15,64,20,1.54,CA,1615915205
sangod,24.9167,76.2833,300.49,17,0,3.59,IN,1615915205
bathsheba,13.2167,-59.5167,302.15,61,40,9.26,BB,1615915206
mount isa,-20.7333,139.5,298.15,57,40,4.63,AU,1615915206
jamestown,42.097,-79.2353,275.37,80,90,4.48,US,1615914940
ribeira grande,38.5167,-28.7,290.15,94,75,6.69,PT,1615915207
kavieng,-2.5744,150.7967,300.96,71,84,1.73,PG,1615915207
abalak,58.1286,68.5944,269.39,93,100,3.86,RU,1615915207
nikolskoye,59.7035,30.7861,274.15,86,75,1.0,RU,1615915208
dikson,73.5069,80.5464,239.44,99,75,1.67,RU,1615915208
souillac,-20.5167,57.5167,300.15,74,40,3.6,MU,1615915006
